numOfVertices,time
 100,14.1468
 200,23.66
 300,37.5058
 400,71.0664
 500,137.863392
 600,212.36
 700,297.5936
 800,576.064832
 900,695.989184
 1000,1275.06048
 1100,1182.148224
 1200,1626.793216
 1300,3023.61344
 1400,3944.0384
 1500,4560.176128
 1600,5337.965568
 1700,6174.475264
 1800,6082.039808
 1900,6884.736
 2000,7597.540864
 2100,9159.128064
 2200,10751.706112
 2300,16432.638976
 2400,15775.844352
 2500,17810.767872
 2600,19676.248064
 2700,20136.742912
 2800,22330.587136
 2900,23171.09248
 3000,21387.28448