probability,time
 0.03333333507180214,29.68192
 0.06666667014360428,30.200294399999997
 0.10000000149011612,54.415104
 0.13333334028720856,68.46051840000001
 0.1666666716337204,86.7656448
 0.20000000298023224,127.8260992
 0.23333333432674408,146.882048
 0.2666666805744171,174.3158784
 0.30000001192092896,199.3285632
 0.3333333432674408,229.143168
 0.36666667461395264,260.16222719999996
 0.4000000059604645,315.32349439999996
 0.4333333373069763,356.616704
 0.46666666865348816,401.956608
 0.5,431.0527744
 0.5333333611488342,480.17751039999996
 0.5666666626930237,536.891392
 0.6000000238418579,573.594496
 0.6333333253860474,653.8844416000001
 0.6666666865348816,724.988544
 0.699999988079071,814.4011264
 0.7333333492279053,882.3652352
 0.7666666507720947,1120.3223808
 0.800000011920929,1607.7955584000001
 0.8333333134651184,1513.9857664
 0.8666666746139526,1753.6231936
 0.8999999761581421,2327.9343104
 0.9333333373069763,3043.8780672
 0.9666666388511658,3681.26592
 1.0,8287.6097536